"hr","weekday","weathersit","temp","hum","windspeed","ToD","temp2","season","mnth","cnt"
0,"6",NA,3.28,0.81,NA,"(-0.01,5]",10.7584,"1",1,16
1,"6","1",2.34,0.8,0,"(-0.01,5]",5.4756,"1",1,40
2,"6","1",2.34,0.8,0,"(-0.01,5]",5.4756,"1",1,32
3,"6","1",3.28,0.75,0,"(-0.01,5]",10.7584,"1",1,13
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,1
5,"6","2",3.28,NA,0.0896,"(-0.01,5]",10.7584,"1",1,1
6,"6","1",2.34,NA,NA,"(5,10]",NA,"1",1,2
7,"6","1",1.4,0.86,NA,"(5,10]",1.96,"1",1,3
8,NA,"1",3.28,NA,NA,NA,10.7584,"1",1,8
9,"6","1",7.04,0.76,0,"(5,10]",49.5616,"1",1,14
10,"6","1",9.86,0.76,0.2537,"(5,10]",97.2196,"1",1,36
11,"6","1",8.92,0.81,0.2836,"(10,16]",79.5664,"1",1,56
12,"6","1",11.74,NA,0.2836,"(10,16]",137.8276,"1",1,84
13,"6","2",13.62,0.72,0.2985,"(10,16]",NA,"1",1,94
14,NA,"2",13.62,NA,NA,NA,185.5044,"1",1,106
15,"6","2",12.68,NA,0.2985,"(10,16]",160.7824,"1",1,110
16,NA,"2",11.74,NA,NA,NA,137.8276,"1",1,93
NA,"6",NA,NA,0.82,0.2836,"(16,19]",NA,"1",1,67
18,"6","3",11.74,0.88,0.2537,"(16,19]",137.8276,"1",1,35
NA,"6",NA,NA,0.88,0.2537,"(16,19]",NA,"1",1,37
NA,"6","2",10.8,0.87,NA,"(19,24]",116.64,"1",1,36
21,"6","2",10.8,NA,0.194,"(19,24]",116.64,"1",1,34
22,NA,"2",10.8,NA,NA,NA,116.64,"1",1,28
23,"6","2",13.62,0.88,0.2985,"(19,24]",185.5044,"1",1,39
NA,"0",NA,NA,0.88,0.2985,"(-0.01,5]",NA,"1",1,17
1,NA,"2",12.68,NA,NA,NA,160.7824,"1",1,17
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,9
3,"0","2",13.62,0.94,0.194,"(-0.01,5]",185.5044,"1",1,6
4,"0","2",NA,0.94,0.194,"(-0.01,5]",185.5044,"1",1,3
NA,"0",NA,NA,NA,0.2985,"(5,10]",NA,"1",1,2
NA,"0",NA,NA,0.76,0.194,NA,NA,"1",1,1
NA,"0",NA,NA,0.71,0.2239,"(5,10]",NA,"1",1,8
9,"0","2",9.86,0.76,NA,"(5,10]",97.2196,"1",1,20
10,"0","2",8.92,0.81,0.2239,"(5,10]",79.5664,"1",1,53
11,NA,"2",8.92,NA,NA,NA,79.5664,"1",1,70
12,NA,"2",8.92,0.66,0.2985,"(10,16]",79.5664,"1",1,93
13,"0","2",8.92,0.66,0.1343,"(10,16]",NA,"1",1,75
14,NA,"3",8.92,NA,NA,NA,79.5664,"1",1,59
15,"0","3",7.98,NA,0.1642,"(10,16]",63.6804,"1",1,74
16,"0","3",7.98,0.71,0.1642,"(10,16]",63.6804,"1",1,76
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,65
18,"0","2",8.92,0.46,0.3284,"(16,19]",79.5664,"1",1,53
19,"0","1",7.04,0.42,0.4478,"(16,19]",49.5616,"1",1,30
20,"0","1",6.1,0.39,0.3582,"(19,24]",37.21,"1",1,22
NA,"0",NA,NA,0.44,0.3284,"(19,24]",NA,"1",1,31
22,"0","1",3.28,0.44,0.2985,"(19,24]",10.7584,"1",1,9
23,"0","1",2.34,0.47,0.1642,"(19,24]",5.4756,"1",1,8
0,"1","1",2.34,0.44,0.3582,"(-0.01,5]",5.4756,"1",1,5
NA,"1",NA,NA,0.44,0.4179,"(-0.01,5]",NA,"1",1,2
4,"1","1",-0.48,0.47,0.3881,"(-0.01,5]",0.2304,"1",1,1
5,NA,"1",-0.48,NA,NA,NA,0.2304,"1",1,3
6,"1","1",-1.42,0.5,0.3881,NA,2.0164,"1",1,30
7,"1","1",-1.42,0.5,0.194,"(5,10]",2.0164,"1",1,64
NA,"1",NA,NA,0.5,0.2836,"(5,10]",NA,"1",1,154
NA,"1",NA,NA,0.43,0.3881,"(5,10]",NA,"1",1,88
10,"1","1",0.459999999999999,0.43,0.2537,"(5,10]",0.211599999999999,"1",1,44
11,NA,"1",1.4,NA,NA,NA,1.96,"1",1,51
12,"1","1",2.34,0.35,0.2985,"(10,16]",5.4756,"1",1,61
13,NA,"1",NA,NA,NA,NA,10.7584,"1",1,61
NA,"1",NA,NA,0.3,0.2836,"(10,16]",NA,"1",1,77
15,"1",NA,4.22,NA,0.2537,"(10,16]",17.8084,"1",1,72
16,"1","1",4.22,0.3,0.2537,"(10,16]",17.8084,"1",1,76
17,"1","1",3.28,0.3,0.2239,"(16,19]",10.7584,"1",1,157
18,NA,"1",3.28,NA,NA,NA,10.7584,"1",1,157
NA,NA,"1",1.4,NA,NA,NA,1.96,"1",1,110
20,"1","1",1.4,0.47,0.1045,"(19,24]",1.96,"1",1,52
21,"1","1",0.459999999999999,0.64,0.1343,"(19,24]",0.211599999999999,"1",1,52
22,NA,"1",-1.42,NA,NA,NA,2.0164,"1",1,20
23,"1","1",0.459999999999999,0.55,0.1045,"(19,24]",0.211599999999999,"1",1,12
0,"2","1",-0.48,0.55,0.1045,"(-0.01,5]",0.2304,"1",1,5
NA,"2",NA,NA,0.59,0.1045,"(-0.01,5]",NA,"1",1,2
2,"2","1",-1.42,0.63,0.1343,"(-0.01,5]",2.0164,"1",1,1
NA,"2","1",-1.42,0.63,0.0896,"(-0.01,5]",2.0164,"1",1,2
5,"2","1",-2.36,0.68,0.1045,"(-0.01,5]",5.5696,"1",1,4
NA,"2",NA,NA,0.74,0.1045,"(5,10]",NA,"1",1,36
NA,"2",NA,NA,0.74,0.1343,"(5,10]",NA,"1",1,94
NA,"2",NA,NA,0.69,0.1642,"(5,10]",NA,"1",1,179
9,"2",NA,-0.48,0.64,0.2239,"(5,10]",0.2304,"1",1,100
NA,"2",NA,NA,0.69,0.3284,"(5,10]",NA,"1",1,42
11,NA,"1",2.34,NA,NA,NA,5.4756,"1",1,57
12,"2","1",2.34,0.51,NA,"(10,16]",5.4756,"1",1,78
13,"2","1",3.28,0.56,0.194,NA,10.7584,"1",1,97
14,"2","1",4.22,0.52,0.2239,"(10,16]",17.8084,"1",1,63
15,NA,NA,5.16,NA,NA,NA,26.6256,"1",1,65
16,"2","1",6.1,0.49,0.2537,"(10,16]",37.21,"1",1,83
17,NA,"1",5.16,NA,NA,NA,26.6256,"1",1,212
18,NA,"1",4.22,NA,NA,NA,17.8084,"1",1,182
19,"2","1",3.28,0.48,0.1045,"(16,19]",10.7584,"1",1,112
NA,"2","1",3.28,0.48,0.1045,"(19,24]",NA,"1",1,54
21,"2","1",2.34,0.64,0,"(19,24]",5.4756,"1",1,48
22,NA,"1",2.34,NA,NA,NA,NA,"1",1,35
23,"2",NA,1.4,0.69,0.0896,"(19,24]",1.96,"1",1,11
0,"3","1",1.4,0.64,0,"(-0.01,5]",NA,"1",1,6
