"hr","weekday","weathersit","temp","hum","windspeed","ToD","temp2","season","mnth","cnt"
2,NA,"1",3.28,NA,NA,NA,10.7584,"4",11,46
NA,NA,NA,NA,NA,NA,NA,NA,"4",12,148
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,23
13,NA,"1",6.1,NA,NA,NA,37.21,"4",12,124
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,9
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,3
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,43
NA,NA,"1",21.14,NA,NA,NA,446.8996,"2",4,485
12,NA,"1",2.34,NA,NA,NA,5.4756,"1",2,71
20,NA,"1",21.14,NA,NA,NA,446.8996,"2",6,302
NA,NA,NA,NA,NA,NA,NA,NA,"2",5,354
2,NA,"3",21.14,NA,NA,NA,446.8996,"2",5,5
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,784
NA,NA,NA,NA,NA,NA,NA,NA,"1",3,164
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,24
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,434
NA,NA,NA,NA,NA,NA,NA,NA,"1",3,152
21,NA,"1",16.44,NA,NA,NA,270.2736,"2",5,156
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,27
17,NA,"3",18.32,NA,NA,NA,335.6224,"2",5,229
20,NA,"2",NA,NA,NA,NA,97.2196,"4",12,122
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,270
NA,NA,"1",8.92,NA,NA,NA,79.5664,"4",12,273
NA,NA,NA,NA,NA,NA,NA,NA,"2",5,350
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,399
7,NA,"1",4.22,NA,NA,NA,17.8084,"4",12,26
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,86
NA,NA,NA,NA,NA,NA,NA,NA,"2",5,522
19,NA,"1",8.92,NA,NA,NA,79.5664,"4",11,239
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,135
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,305
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,64
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,334
2,NA,"1",-1.42,NA,NA,NA,2.0164,"1",1,1
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,357
2,NA,"1",14.56,NA,NA,NA,NA,"2",4,22
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,25
1,NA,"3",-1.42,NA,NA,NA,2.0164,"1",2,7
21,NA,"1",15.5,NA,NA,NA,240.25,"4",10,206
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,27
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,93
NA,NA,NA,NA,NA,NA,NA,NA,"2",5,174
5,NA,"1",19.26,NA,NA,NA,370.9476,"3",6,25
NA,NA,NA,NA,NA,NA,NA,NA,"4",12,124
13,NA,"1",NA,NA,NA,NA,NA,"1",2,135
4,NA,"2",21.14,NA,NA,NA,446.8996,"3",9,3
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,83
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,10
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,103
8,NA,"1",1.4,NA,NA,NA,1.96,"1",1,493
19,NA,"1",17.38,NA,NA,NA,302.0644,"2",5,361
NA,NA,NA,NA,NA,NA,NA,NA,"3",6,253
NA,NA,NA,NA,NA,NA,NA,NA,"1",3,56
12,NA,"2",20.2,NA,NA,NA,408.04,"2",4,283
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,135
4,NA,"1",9.86,NA,NA,NA,97.2196,"1",12,10
3,NA,"1",15.5,NA,NA,NA,240.25,"4",10,1
1,NA,"2",NA,NA,NA,NA,0.2304,"1",2,7
NA,NA,NA,NA,NA,NA,NA,NA,"1",3,173
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,173
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,452
14,NA,"1",30.54,NA,NA,NA,932.6916,"3",7,303
19,NA,"1",29.6,NA,NA,NA,876.16,"3",7,595
0,NA,"1",2.34,NA,NA,NA,5.4756,"1",1,25
NA,NA,NA,NA,NA,NA,NA,NA,"1",3,327
NA,NA,NA,NA,NA,NA,NA,NA,"1",12,131
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,131
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,324
17,NA,NA,20.2,NA,NA,NA,408.04,"4",10,563
NA,NA,NA,NA,NA,NA,NA,NA,"1",12,36
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,38
19,NA,"1",4.22,NA,NA,NA,17.8084,"4",12,232
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,327
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,198
4,NA,"1",-3.3,NA,NA,NA,10.89,"1",1,3
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,79
15,NA,"1",9.86,NA,NA,NA,97.2196,"4",12,159
11,NA,"1",21.14,NA,NA,NA,446.8996,"4",9,158
NA,NA,NA,NA,NA,NA,NA,NA,"1",12,273
19,NA,"1",-1.42,NA,NA,NA,2.0164,"1",1,30
18,NA,"1",8.92,NA,NA,NA,79.5664,"4",12,354
22,NA,"2",NA,NA,NA,NA,270.2736,"4",10,217
1,NA,"1",22.08,NA,NA,NA,487.5264,"3",7,119
15,NA,"1",34.3,NA,NA,NA,1176.49,"3",8,168
10,NA,"1",21.14,NA,NA,NA,446.8996,"3",9,225
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,105
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,80
19,NA,"2",19.26,NA,NA,NA,370.9476,"4",10,336
10,NA,"1",22.08,NA,NA,NA,487.5264,"2",6,317
2,NA,"1",26.78,NA,NA,NA,717.1684,"3",7,67
4,NA,"1",14.56,NA,NA,NA,211.9936,"3",9,9
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,70
18,NA,"1",0.459999999999999,NA,NA,NA,0.211599999999999,"1",1,120
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,109
